City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,luderitz,-26.6481,15.1594,16.34,68,0,6.19,NA,1728578347
351,cromwell,41.5951,-72.6454,15.18,55,40,5.14,US,1728578348
352,bol'shoye boldino,55.0059,45.3142,5.98,71,99,3.65,RU,1728578349
353,auki,-8.7676,160.7034,24.26,92,60,1.27,SB,1728578350
354,posen,52.4069,16.9299,15.62,80,0,3.09,PL,1728578351
355,mahenge,-8.6833,36.7167,21.54,56,91,0.93,TZ,1728578352
356,xincheng,33.6333,115.1833,17.56,52,0,3.33,CN,1728578354
357,mareeba,-17.0,145.4333,20.69,89,66,2.51,AU,1728578355
358,sittwe,20.15,92.9,27.71,81,0,3.05,MM,1728578357
359,margate,51.3813,1.3862,11.04,71,100,0.45,GB,1728578358
360,santiago de cao,-7.9589,-79.2392,18.07,88,75,4.12,PE,1728578359
361,gadzhiyevo,69.2551,33.3362,3.32,77,100,10.2,RU,1728578360
362,bandiagara,14.3501,-3.6104,36.29,23,54,6.26,ML,1728578361
363,redding,40.5865,-122.3917,19.42,54,100,0.45,US,1728578127
